Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Eugene Amano,,2.0,1.0,1.0,,,,6.0,7.0,,,,,,,
David Baas,,,,,,,,,7.0,6.0,9.0,,,,,
Joe Berger,,,,,,,4.0,6.0,,,,,7.0,6.0,,
Austin Blythe,,,,1.0,2.0,,8.0,6.0,,,,,,,,
Russell Bodine,,8.0,9.0,7.0,6.0,3.0,,,,,,,,,,
Justin Britt,,,,,7.0,7.0,8.0,4.0,,3.0,,,,,,
Jason Brown,,,,,7.0,4.0,6.0,4.0,,,,,,,,
Jeff Faine,,4.0,5.0,5.0,8.0,8.0,7.0,4.0,4.0,6.0,4.0,,,,,
Melvin Fowler,,,,5.0,2.0,4.0,7.0,6.0,3.0,,,,,,,
Travis Frederick,,9.0,12.0,9.0,15.0,11.0,,11.0,,,,,,,,
Eric Ghiaciuc,,,,,7.0,7.0,5.0,,,,,,,,,
Jonathan Goodwin,,,,,,,,,,9.0,12.0,8.0,8.0,8.0,8.0,8.0
Jake Grove,,,,,4.0,4.0,,4.0,5.0,,,,,,,
Andre Gurode,,,,4.0,,,,13.0,10.0,10.0,12.0,10.0,,,2.0,
Geoff Hangartner,,,,6.0,2.0,5.0,6.0,5.0,,6.0,1.0,,,,,
Nick Hardwick,,,9.0,8.0,13.0,5.0,8.0,,10.0,9.0,7.0,10.0,,,,
Justin Hartwig,,,,,9.0,7.0,7.0,,6.0,8.0,9.0,,,,,
Joe Hawley,,,,,4.0,,7.0,7.0,,,,,,,,
Eric Heitmann,,,,,5.0,6.0,5.0,8.0,7.0,,,,,,,
Rodney Hudson,,1.0,,7.0,8.0,6.0,9.0,10.0,6.0,11.0,8.0,6.0,,,,
Al Johnson,,,,,7.0,8.0,2.0,7.0,,,,,,,,
T.J. Johnson,,,,,1.0,2.0,2.0,,,,,,,,,
Ben Jones,,,,1.0,,7.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,,,
Ryan Kalil,,,6.0,9.0,6.0,14.0,,13.0,7.0,13.0,3.0,,8.0,,,
Daniel Kilgore,,,,,,,,,5.0,8.0,,6.0,,,,
Dan Koppen,,,,7.0,10.0,5.0,10.0,16.0,10.0,10.0,11.0,,7.0,,,
Ted Larsen,,,,2.0,7.0,2.0,,,,,,1.0,,,,
Nick Leckey,,1.0,4.0,5.0,,3.0,1.0,,,,,,,,,
Brandon Linder,,,,6.0,7.0,3.0,7.0,3.0,3.0,,,,,,,
Joe Looney,,,,,3.0,,,7.0,,5.0,,,,,,
Alex Mack,,,,5.0,8.0,6.0,7.0,9.0,,8.0,17.0,14.0,12.0,8.0,6.0,9.0
Sean Mahan,,,,4.0,,,8.0,1.0,,,,,,,,
Nick Mangold,,9.0,7.0,10.0,11.0,12.0,9.0,5.0,7.0,8.0,10.0,3.0,,,,
Nick Martin,,,,6.0,7.0,9.0,7.0,,,,,,,,,
Seth McKinney,,,2.0,2.0,6.0,6.0,,,2.0,1.0,,,,,,
Will Montgomery,,,,,,,,7.0,10.0,7.0,5.0,,,,,
Scott Mruczkowski,,,,,1.0,2.0,8.0,2.0,1.0,,,,,,,
Chris Myers,,,,,,9.0,8.0,8.0,10.0,11.0,9.0,6.0,8.0,,,
Matt Paradis,,,,,,7.0,6.0,6.0,4.0,6.0,7.0,3.0,,,,
Maurkice Pouncey,13.0,12.0,11.0,,15.0,,9.0,9.0,12.0,6.0,7.0,,,,,
Mike Pouncey,,8.0,7.0,8.0,,8.0,,6.0,11.0,,,,,,,
Duke Preston,,,2.0,,1.0,5.0,,,,,,,,,,
Billy Price,,,,5.0,,1.0,5.0,,,,,,,,,
Jamey Richard,,,,5.0,1.0,4.0,1.0,,,,,,,,,
Weston Richburg,,,,8.0,6.0,,6.0,8.0,,,,,,,,
Chase Roullier,,,,4.0,7.0,5.0,6.0,3.0,,,,,,,,
Samson Satele,,,7.0,9.0,4.0,7.0,8.0,5.0,7.0,9.0,,,,,,
Brian Schwenke,,5.0,4.0,,2.0,2.0,,,,,,,,,,
A.Q. Shipley,,,,,,3.0,,4.0,3.0,8.0,6.0,,8.0,,,
Chris Spencer,,,,6.0,8.0,4.0,6.0,7.0,,,2.0,3.0,,,,
Alex Stepanovich,,,6.0,4.0,,3.0,,,,,,,,,,
John Sullivan,,,1.0,9.0,5.0,8.0,7.0,7.0,7.0,,2.0,8.0,11.0,,,
Travis Swanson,,,,7.0,6.0,5.0,4.0,,,,,,,,,
Matt Tennant,,,1.0,1.0,1.0,,,,,,,,,,,
J.C. Tretter,,,,,,6.0,7.0,7.0,9.0,6.0,,,,,,
Max Unger,,,,,6.0,16.0,9.0,,10.0,9.0,9.0,13.0,,,,
Cody Wallace,,,,,,,,1.0,2.0,2.0,8.0,,,,,
J.D. Walton,,,7.0,6.0,,,8.0,,,,,,,,,
Scott Wells,,,,,6.0,8.0,7.0,9.0,9.0,16.0,,6.0,7.0,,,
Stefen Wisniewski,,,6.0,5.0,5.0,8.0,,,,2.0,,,,,,
Eric Wood,,,,,4.0,6.0,7.0,7.0,10.0,5.0,7.0,,,,,
Jeremy Zuttah,,,,5.0,,8.0,6.0,9.0,4.0,9.0,,,,,,
